"","pets","sex","status","sign","pets_dislike","pets_like","pets_has"
"177","likes dogs","f","single","taurus",NA,"dogs",NA
"178","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"179","likes dogs","m","single","gemini",NA,"dogs",NA
"180",NA,"m","single","cancer",NA,NA,NA
"181","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"182","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"183","has dogs","m","single","aquarius",NA,NA,"dogs"
"184","likes dogs","m","single","taurus",NA,"dogs",NA
"185","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"186","likes dogs","m","single","leo",NA,"dogs",NA
"187","likes dogs and likes cats","m","available","libra",NA,"dogs/cats",NA
"188","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"189","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"190","likes dogs","m","single","aries",NA,"dogs",NA
"191","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"192",NA,"m","single","taurus",NA,NA,NA
"193","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"194","has dogs and has cats","f","single","libra",NA,NA,"dogs/cats"
"195","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"196","likes dogs","f","single","sagittarius",NA,"dogs",NA
"197","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"198","likes dogs and has cats","m","single","gemini",NA,"dogs","cats"
"199",NA,"m","single","sagittarius",NA,NA,NA
"200",NA,"m","single","pisces",NA,NA,NA
"201","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"202","has dogs","f","single","scorpio",NA,NA,"dogs"
"203","has dogs","f","single","pisces",NA,NA,"dogs"
"204","likes cats","m","single","libra",NA,"cats",NA
"205","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"206","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"207","has dogs and has cats","m","single","leo",NA,NA,"dogs/cats"
"208",NA,"f","single","sagittarius",NA,NA,NA
"209","likes dogs","m","single","leo",NA,"dogs",NA
"210",NA,"m","single","aries",NA,NA,NA
"211","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"212","likes dogs","f","single","sagittarius",NA,"dogs",NA
"213","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"214","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"215","likes dogs and dislikes cats","m","single","libra","cats","dogs",NA
"216","likes dogs and has cats","m","seeing someone","gemini",NA,"dogs","cats"
"217","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"218","likes dogs","f","single","libra",NA,"dogs",NA
"219",NA,"m","single","capricorn",NA,NA,NA
"220","likes dogs and dislikes cats","m","single","libra","cats","dogs",NA
"221","likes dogs and dislikes cats","f","single","taurus","cats","dogs",NA
"222","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"223",NA,"m","single","sagittarius",NA,NA,NA
"224","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"225","likes dogs and dislikes cats","f","single","sagittarius","cats","dogs",NA
"226","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"227","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"228",NA,"m","single","capricorn",NA,NA,NA
"229",NA,"m","seeing someone","capricorn",NA,NA,NA
"230",NA,"f","single","pisces",NA,NA,NA
"231","likes dogs and dislikes cats","m","single","taurus","cats","dogs",NA
"232","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"233","likes cats","m","single","gemini",NA,"cats",NA
"234","likes dogs and dislikes cats","m","single","sagittarius","cats","dogs",NA
"235","has dogs","f","single","sagittarius",NA,NA,"dogs"
"236","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"237","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"238","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"239",NA,"f","single","cancer",NA,NA,NA
"240","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"241","likes dogs and has cats","f","single","aquarius",NA,"dogs","cats"
"242","has dogs","f","single","sagittarius",NA,NA,"dogs"
"243","likes dogs","m","single","libra",NA,"dogs",NA
"244",NA,"f","single","scorpio",NA,NA,NA
"245","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"246","likes dogs","f","single","pisces",NA,"dogs",NA
"247","likes dogs","m","single","libra",NA,"dogs",NA
"248","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"249","has dogs and likes cats","f","single","cancer",NA,"cats","dogs"
"250","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"251","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"252","likes dogs","f","single","virgo",NA,"dogs",NA
"253","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"254","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"255","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"256","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"257","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"258",NA,"f","single","libra",NA,NA,NA
"259",NA,"f","single","aries",NA,NA,NA
"260","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"261",NA,"m","single","virgo",NA,NA,NA
"262","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"263","likes dogs","m","single","leo",NA,"dogs",NA
"264","has dogs","m","single","aquarius",NA,NA,"dogs"
"265",NA,"m","single","aries",NA,NA,NA
"266","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"267","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"268","has dogs","m","single","cancer",NA,NA,"dogs"
"269","likes dogs and dislikes cats","m","single","leo","cats","dogs",NA
"270","has dogs and has cats","f","single","capricorn",NA,NA,"dogs/cats"
"271","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"272","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"273","likes dogs and has cats","m","seeing someone","libra",NA,"dogs","cats"
"274","dislikes dogs and dislikes cats","m","single","scorpio","dogs/cats","dogs",NA
"275","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"276",NA,"m","single","aquarius",NA,NA,NA
"277","likes dogs and likes cats","m","available","leo",NA,"dogs/cats",NA
"278","has dogs","f","single","sagittarius",NA,NA,"dogs"
"279","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"280","has dogs","f","single","scorpio",NA,NA,"dogs"
"281","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"282",NA,"f","single","libra",NA,NA,NA
"283",NA,"m","single","gemini",NA,NA,NA
"284","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"285","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"286","likes dogs","m","single","libra",NA,"dogs",NA
"287","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"288","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"289","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"290",NA,"f","single","leo",NA,NA,NA
"291",NA,"m","single","cancer",NA,NA,NA
"292","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"293","has dogs","m","single","taurus",NA,NA,"dogs"
"294","likes dogs and dislikes cats","f","single","capricorn","cats","dogs",NA
"295",NA,"m","single","cancer",NA,NA,NA
"296","likes dogs","m","single","libra",NA,"dogs",NA
"297","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"298","likes dogs","m","single","pisces",NA,"dogs",NA
"299","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"300","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"301","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"302",NA,"f","single","aries",NA,NA,NA
"303",NA,"m","single","scorpio",NA,NA,NA
"304","has dogs and has cats","m","single","cancer",NA,NA,"dogs/cats"
"305","likes dogs","m","single","aquarius",NA,"dogs",NA
"306",NA,"m","single","gemini",NA,NA,NA
"307","likes dogs and likes cats","m","available","aquarius",NA,"dogs/cats",NA
"308","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"309","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"310","likes dogs and has cats","m","available","aquarius",NA,"dogs","cats"
"311","likes dogs","m","single","aquarius",NA,"dogs",NA
"312","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"313","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"314","has cats","f","single","sagittarius",NA,NA,"cats"
"315","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"316",NA,"m","single","sagittarius",NA,NA,NA
"317","likes dogs and likes cats","f","available","cancer",NA,"dogs/cats",NA
"318","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"319","likes dogs","m","single","aquarius",NA,"dogs",NA
"320","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"321","likes dogs","f","single","virgo",NA,"dogs",NA
"322",NA,"m","single","pisces",NA,NA,NA
"323","likes dogs","m","single","pisces",NA,"dogs",NA
"324","likes dogs and dislikes cats","m","single","gemini","cats","dogs",NA
"325",NA,"m","single","leo",NA,NA,NA
"326",NA,"m","single","libra",NA,NA,NA
"327","has dogs","m","single","cancer",NA,NA,"dogs"
"328",NA,"m","single","scorpio",NA,NA,NA
"329","has dogs and likes cats","f","single","gemini",NA,"cats","dogs"
"330","likes dogs","f","single","cancer",NA,"dogs",NA
"331",NA,"f","single","sagittarius",NA,NA,NA
"332","likes dogs and has cats","f","seeing someone","aries",NA,"dogs","cats"
"333","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"334","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"335","has cats","f","single","aquarius",NA,NA,"cats"
"336","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"337",NA,"f","single","sagittarius",NA,NA,NA
"338","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"339","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"340",NA,"m","single","gemini",NA,NA,NA
"341","likes dogs and dislikes cats","m","available","virgo","cats","dogs",NA
"342","likes dogs","f","single","libra",NA,"dogs",NA
"343","has dogs","f","single","scorpio",NA,NA,"dogs"
"344","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"345","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"346","has dogs","m","single","scorpio",NA,NA,"dogs"
"347","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"348","likes dogs","m","single","taurus",NA,"dogs",NA
"349","has dogs and has cats","m","single","cancer",NA,NA,"dogs/cats"
"350","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"351","dislikes dogs and dislikes cats","f","single","capricorn","dogs/cats","dogs",NA
"352","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"353","has dogs","m","single","taurus",NA,NA,"dogs"
"354","likes dogs and dislikes cats","f","single","virgo","cats","dogs",NA
"355","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"356",NA,"f","single","pisces",NA,NA,NA
"357","has dogs","f","single","scorpio",NA,NA,"dogs"
"358","likes dogs","f","single","leo",NA,"dogs",NA
"359",NA,"f","single","libra",NA,NA,NA
"360","likes dogs and has cats","m","available","aries",NA,"dogs","cats"
"361","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"362","has cats","f","single","aquarius",NA,NA,"cats"
"363","has dogs","f","single","virgo",NA,NA,"dogs"
"364","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"365","likes cats","f","single","virgo",NA,"cats",NA
"366","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"367","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"368","likes dogs and has cats","f","single","pisces",NA,"dogs","cats"
"369",NA,"m","single","aquarius",NA,NA,NA
"370",NA,"f","single","cancer",NA,NA,NA
"371","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"372","likes dogs","f","single","pisces",NA,"dogs",NA
"373",NA,"m","single","aries",NA,NA,NA
"374","has cats","f","single","aries",NA,NA,"cats"
"375","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"376",NA,"m","single","libra",NA,NA,NA
"377","likes dogs and dislikes cats","m","single","scorpio","cats","dogs",NA
"378",NA,"f","single","capricorn",NA,NA,NA
"379","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"380","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"381","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"382","has dogs and likes cats","m","single","capricorn",NA,"cats","dogs"
"383","likes dogs","f","single","gemini",NA,"dogs",NA
"384","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"385",NA,"m","single","scorpio",NA,NA,NA
"386","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"387","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"388",NA,"m","single","taurus",NA,NA,NA
"389","likes dogs and likes cats","m","seeing someone","virgo",NA,"dogs/cats",NA
"390","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"391","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"392","has dogs and likes cats","f","single","pisces",NA,"cats","dogs"
"393","likes dogs and has cats","f","seeing someone","pisces",NA,"dogs","cats"
"394","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"395","has dogs","f","single","taurus",NA,NA,"dogs"
"396","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"397","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"398","likes dogs","m","single","virgo",NA,"dogs",NA
"399","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"400","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"401","has dogs and has cats","m","single","leo",NA,NA,"dogs/cats"
"402","has dogs and has cats","m","single","libra",NA,NA,"dogs/cats"
"403","likes dogs","m","single","pisces",NA,"dogs",NA
"404",NA,"m","single","libra",NA,NA,NA
"405","has dogs and likes cats","f","married","scorpio",NA,"cats","dogs"
"406",NA,"f","single","sagittarius",NA,NA,NA
"407",NA,"m","single","aries",NA,NA,NA
"408","has dogs and dislikes cats","f","single","libra","cats","cats","dogs"
"409",NA,"m","single","aries",NA,NA,NA
"410",NA,"m","single","cancer",NA,NA,NA
"411",NA,"f","single","libra",NA,NA,NA
"412","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"413","likes dogs and dislikes cats","m","single","gemini","cats","dogs",NA
"414","has dogs and has cats","m","single","sagittarius",NA,NA,"dogs/cats"
"415","has dogs","m","seeing someone","virgo",NA,NA,"dogs"
"416",NA,"m","single","leo",NA,NA,NA
"417","likes cats","m","single","scorpio",NA,"cats",NA
"418","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"419","likes dogs","f","single","sagittarius",NA,"dogs",NA
"420","has dogs","m","single","taurus",NA,NA,"dogs"
"421","has dogs and has cats","m","single","aries",NA,NA,"dogs/cats"
"422",NA,"m","single","aquarius",NA,NA,NA
"423","has dogs","f","single","capricorn",NA,NA,"dogs"
"424",NA,"m","single","cancer",NA,NA,NA
"425","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"426",NA,"m","single","virgo",NA,NA,NA
"427",NA,"m","available","gemini",NA,NA,NA
"428","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"429","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"430","likes dogs and dislikes cats","f","single","taurus","cats","dogs",NA
"431","likes cats","m","single","gemini",NA,"cats",NA
"432",NA,"m","single","scorpio",NA,NA,NA
"433","likes dogs and dislikes cats","m","single","libra","cats","dogs",NA
"434","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"435","likes cats","f","single","aries",NA,"cats",NA
"436","likes dogs and dislikes cats","m","single","virgo","cats","dogs",NA
"437","has dogs and likes cats","m","single","aquarius",NA,"cats","dogs"
"438","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"439",NA,"m","single","scorpio",NA,NA,NA
"440","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"441",NA,"f","single","leo",NA,NA,NA
"442",NA,"m","seeing someone","aquarius",NA,NA,NA
"443",NA,"m","single","taurus",NA,NA,NA
"444","has dogs and likes cats","f","single","gemini",NA,"cats","dogs"
"445","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"446","likes dogs and dislikes cats","m","single","pisces","cats","dogs",NA
"447",NA,"m","available","sagittarius",NA,NA,NA
